display_name,handle,status,last_activity,source,notes
"纯",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"Sin Ling",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"• ch^EnEn",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"陈.",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"雪仪",UNVERIFIED,seen,3w,letsco.lab IG DM,seen last week — no reply
"FELICIA 钟慧琳",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"Miky | Sp2 | Lana | KL",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,bio states KL
"Jiaxin",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"Ran",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,verified badge
"Susan 素姍",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"草莓熊",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"yuqiann._",yuqiann._,auto-detected-outcome,3w,letsco.lab IG DM,verified badge
"Belle BL",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,verified badge
"xxii20_12",xxii20_12,auto-detected-outcome,3w,letsco.lab IG DM,
"ELLE",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"Bernice Lau",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"Viann not Vivian",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"JY",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"CY",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"柠亦",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"Forget it/1000 times",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"JADE",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"Francesca",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"mm_0730",mm_0730,auto-detected-outcome,3w,letsco.lab IG DM,verified badge
"Shermaine.",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"김미영",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,Korean-language profile
"Silent",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"•ΥΝ•",UNVERIFIED,sent,3w,letsco.lab IG DM,
"歆颐",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"'QιυQιω.63",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"yt",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Shann.",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"🥜",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"baowei",baowei,auto-detected-outcome,2w,letsco.lab IG DM,
"Dez",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"jjng wen",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,verified badge
"YY",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"CACA杰西卡卡儿",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,verified badge
"LIBBY LAW",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,verified badge
"陳陳",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Amy Zhang",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"彦慈",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"🧿💛萍",UNVERIFIED,seen,2w,letsco.lab IG DM,seen — no reply
"Tfwths",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"hx",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"小恩 | KL Club Ambassador",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,"bio self-identifies as KL Club Ambassador; verified badge"
"月月",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"wq",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Sonia",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"yk姐姐",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,verified badge
"Rebecca",UNVERIFIED,sent,2w,letsco.lab IG DM,
"小土豆",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"丫丫yabi",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"vicky",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"小气鬼",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,verified badge
"minyu.loo",minyu.loo,auto-detected-outcome,2w,letsco.lab IG DM,
"Yumi Leow",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Joshanne",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Rachel",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Jennifer Ku",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Willis",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"🍯",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"chloe",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"ℛ",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Carmen",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"nicco",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"环颐",UNVERIFIED,sent,2w,letsco.lab IG DM,
"Danica.wxb",Danica.wxb,REPLIED,2w,letsco.lab IG DM,"⭐ QUOTED RATE: RM800"
"RachelTham",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"eelyngravy",eelyngravy,auto-detected-outcome,2w,letsco.lab IG DM,
"RISH",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"ab!gail",UNVERIFIED,sent,2w,letsco.lab IG DM,
"Tamee Ling",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Joey",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Gaby",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"CHERISE",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"erinnn",UNVERIFIED,sent,2w,letsco.lab IG DM,
"嘉雯",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"nichelle",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"waiting",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"ckeni0",ckeni0,auto-detected-outcome,2w,letsco.lab IG DM,
"meitonggg_",meitonggg_,auto-detected-outcome,2w,letsco.lab IG DM,
"Jackline Tee",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"itschristallxj.tt",itschristallxj.tt,auto-detected-outcome,2w,letsco.lab IG DM,
"杨凯萱",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"慧",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Monica Lo",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"lizhen_0915",lizhen_0915,auto-detected-outcome,2w,letsco.lab IG DM,
"凯晴Catherine",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,active story ring
"IRIS",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,active story ring
"PEILING",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,active story ring
"Sue Ning",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,active story ring
"min",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Swit Wen | Content Creator",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,bio self-identifies as Content Creator
"Meggy Yow",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,verified badge; active story ring
"Jocelyn",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Yi Jie",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,active story ring
"Jolin Phang",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Joyce",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"w.shannn",w.shannn,auto-detected-outcome,2w,letsco.lab IG DM,active story ring
"子恩",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,active story ring
"JOYCE",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,active story ring
"Geraldine Tong",UNVERIFIED,REPLIED,2w,letsco.lab IG DM,"⭐ QUOTED RATE: 150 for 1 photo post + 1 IG story"
"jasmine",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,active story ring
"mas.tajbir",mas.tajbir,REPLIED,2w,letsco.lab IG DM,"replied: 'sry for late rply'"
"Vivien Phang",UNVERIFIED,sent,2w,letsco.lab IG DM,
"Anjoe Lee",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"xue ni",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"Miki Miki here",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"CRYSTAL NG",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"jacqueen_yzq",jacqueen_yzq,auto-detected-outcome,2w,letsco.lab IG DM,
"zoey 誼頤",UNVERIFIED,auto-detected-outcome,2w,letsco.lab IG DM,
"yvonnyeoh",yvonnyeoh,seen,1w,letsco.lab IG DM,seen last week — no reply
"Ching Lue",UNVERIFIED,auto-detected-outcome,1w,letsco.lab IG DM,
"Khai Wen",UNVERIFIED,auto-detected-outcome,1w,letsco.lab IG DM,active story ring
"Xyxy",UNVERIFIED,auto-detected-outcome,1w,letsco.lab IG DM,active story ring
"Tze Ling",UNVERIFIED,auto-detected-outcome,1w,letsco.lab IG DM,active story ring
"euniceecw",euniceecw,auto-detected-outcome,1w,letsco.lab IG DM,
"Sum Sum",UNVERIFIED,sent,1w,letsco.lab IG DM,sent last week
"K.M. Arshad",UNVERIFIED,REPLIED,1w,letsco.lab IG DM,"replied '??' — UNREAD, awaiting our response"
"_wendyy41",_wendyy41,sent,1w,letsco.lab IG DM,sent last week
